accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed
2,1.0,1.0,45.0,25.0,0.0,10.0,1,2.859478471787203,15.0,t,Private room,Real Bed,3,f,f,strict_14_with_grace_period,False,True,False,False,False
2,1.0,1.0,49.0,12.0,500.0,26.0,1,3.8587155419442882,60.0,t,Private room,Real Bed,2,f,f,moderate,False,True,False,True,False
2,1.0,1.0,63.0,25.0,200.0,0.0,2,6.504953473709923,60.0,t,Entire home/apt,Real Bed,3,f,f,moderate,True,True,False,False,False
2,1.0,1.0,40.0,0.0,150.0,0.0,1,1.5860247753262928,10.0,t,Entire home/apt,Real Bed,4,f,f,flexible,False,True,False,False,True
1,1.0,1.0,30.0,10.0,0.0,0.0,1,1.0914916574322029,43.43596609662411,t,Private room,Real Bed,5,f,f,moderate,False,False,False,True,False
1,1.0,1.0,14.0,0.0,0.0,0.0,1,5.783224988880511,34.974582883826926,t,Shared room,Real Bed,1,t,f,moderate,True,False,False,True,True
2,1.0,1.0,40.0,0.0,0.0,0.0,1,6.955792453886134,44.73255728585902,t,Private room,Real Bed,1,f,f,flexible,True,False,False,True,False
1,1.0,0.0,29.0,0.0,200.0,25.0,1,1.5499104080453163,10.0,t,Entire home/apt,Real Bed,3,f,f,moderate,False,False,False,False,False
2,1.0,1.0,25.0,4.0,0.0,10.0,1,6.504578209003067,45.51270015539179,t,Private room,Real Bed,2,t,f,flexible,True,False,False,False,True
2,1.0,1.0,40.0,10.0,0.0,25.0,1,5.5794372517830775,58.59421926886297,t,Private room,Real Bed,1,f,f,strict_14_with_grace_period,True,False,False,True,False
2,1.0,1.0,75.0,20.0,0.0,0.0,1,0.7151252038959266,38.0,t,Entire home/apt,Real Bed,3,t,f,strict_14_with_grace_period,True,False,True,False,False
2,1.0,1.0,35.0,0.0,0.0,0.0,1,1.1376170747164114,45.688660183758905,t,Entire home/apt,Real Bed,7,t,f,flexible,True,False,False,False,True
1,1.0,1.0,25.0,0.0,0.0,0.0,1,2.893408479189028,10.0,t,Private room,Real Bed,2,f,f,flexible,True,False,False,False,False
4,1.0,2.0,70.0,65.0,1500.0,0.0,1,1.6715770268584755,74.74216557044822,t,Entire home/apt,Real Bed,150,f,f,strict_14_with_grace_period,True,True,False,False,False
2,1.0,1.0,95.0,12.0,0.0,0.0,1,4.309565475992379,64.85701262839785,t,Private room,Real Bed,2,f,f,strict_14_with_grace_period,True,False,False,False,False
2,1.0,1.0,75.0,0.0,0.0,0.0,1,2.5817359868114997,60.0,t,Entire home/apt,Real Bed,7,t,f,flexible,False,True,False,True,False
1,1.0,0.0,39.0,0.0,0.0,0.0,1,6.933565026860312,42.32677764196386,t,Entire home/apt,Real Bed,19,t,f,flexible,False,True,False,False,False
2,1.0,1.0,51.0,60.0,300.0,10.0,1,5.601412858826546,65.0,t,Entire home/apt,Real Bed,60,t,f,strict_14_with_grace_period,True,True,True,True,False
4,1.0,2.0,90.0,29.0,150.0,25.0,2,3.9633009192358486,80.0,t,Entire home/apt,Real Bed,2,f,f,moderate,True,True,False,True,False
10,1.5,2.0,200.0,80.0,150.0,0.0,1,4.048250777729014,130.09002341065664,t,Entire home/apt,Real Bed,3,t,f,strict_14_with_grace_period,True,True,False,False,False
2,1.0,1.0,45.0,10.0,0.0,0.0,1,4.046812847407836,48.956447030428855,t,Private room,Real Bed,2,t,f,flexible,False,False,False,True,False
2,1.0,1.0,43.0,30.0,0.0,5.0,1,2.6841703231919505,54.06547821599066,t,Entire home/apt,Real Bed,7,f,f,moderate,True,True,True,False,True
2,1.0,1.0,38.0,40.0,500.0,0.0,1,6.486344662860999,51.54152924191701,t,Entire home/apt,Real Bed,30,f,f,flexible,False,True,False,False,False
4,1.5,3.0,41.0,35.0,0.0,20.0,4,3.9485522031921136,69.0791833201935,t,Entire home/apt,Real Bed,2,f,f,moderate,True,False,True,True,False
2,1.5,1.0,80.0,12.0,0.0,10.0,1,4.988609645667117,70.04409409849849,t,Private room,Real Bed,10,t,f,moderate,True,False,False,False,True
6,1.0,2.0,80.0,60.0,300.0,12.0,1,2.1228377965055927,82.80635472413726,t,Entire home/apt,Real Bed,3,t,f,strict_14_with_grace_period,True,True,True,False,False
2,1.0,1.0,40.0,10.0,0.0,40.0,1,3.1207052563543765,66.79011655568459,t,Shared room,Real Bed,2,f,f,flexible,False,False,False,True,False
6,1.0,2.0,65.0,50.0,100.0,20.0,1,16.180981274734517,150.0,t,Entire home/apt,Real Bed,2,t,f,strict_14_with_grace_period,False,True,True,True,False
1,1.0,1.0,36.0,10.0,0.0,0.0,1,6.454232113428327,42.99265252367956,t,Private room,Real Bed,2,f,f,moderate,False,True,True,True,False
2,1.0,1.0,26.0,0.0,0.0,15.0,1,4.3162141694539855,48.60051443637236,t,Shared room,Real Bed,1,t,f,flexible,True,True,False,False,False
2,1.0,1.0,22.0,7.0,0.0,10.0,1,7.091212927403577,23.0,t,Private room,Real Bed,2,f,f,moderate,True,True,False,False,False
5,1.5,2.0,120.0,35.0,0.0,10.0,4,4.652004516503147,130.0,t,Entire home/apt,Real Bed,3,f,f,strict_14_with_grace_period,True,True,True,False,False
2,1.0,1.0,30.0,0.0,400.0,10.0,2,5.723946108331824,47.799856041372976,t,Entire home/apt,Real Bed,84,f,f,strict_14_with_grace_period,True,False,True,False,False
1,1.0,1.0,40.0,10.0,200.0,10.0,1,2.4286440844924058,20.0,t,Private room,Real Bed,1,f,f,strict_14_with_grace_period,True,False,False,False,False
2,1.0,1.0,21.0,0.0,0.0,5.0,1,5.679875728007215,15.0,t,Private room,Real Bed,3,f,f,flexible,True,False,True,False,False
3,1.0,1.0,40.0,0.0,0.0,0.0,1,4.367752958805292,47.94209063770784,t,Private room,Real Bed,3,f,f,moderate,False,False,True,False,False
4,1.0,2.0,44.0,0.0,0.0,0.0,1,3.326020885026067,51.75477138728129,t,Entire home/apt,Real Bed,3,f,f,flexible,True,False,True,True,False
2,1.0,1.0,35.0,0.0,0.0,0.0,1,5.28003772623794,43.88743777261522,t,Private room,Real Bed,3,f,f,moderate,False,False,False,False,True
2,1.0,0.0,37.0,40.0,500.0,0.0,1,4.4599618859060906,10.0,t,Entire home/apt,Real Bed,7,f,f,flexible,True,False,False,False,False
2,1.0,1.0,80.0,0.0,0.0,0.0,1,2.024701844449884,60.0,t,Entire home/apt,Real Bed,4,f,f,moderate,True,False,False,True,False
2,1.0,1.0,60.0,0.0,0.0,0.0,1,3.11539501470022,10.0,t,Private room,Real Bed,3,t,f,flexible,True,False,False,False,False
9,1.0,1.0,179.0,45.0,0.0,12.0,2,5.989471571800772,115.00125258589864,t,Entire home/apt,Real Bed,1,t,f,moderate,True,True,False,False,False
2,1.0,1.0,55.0,0.0,0.0,0.0,1,2.0287491690999526,51.59628399643415,t,Private room,Real Bed,1,f,f,strict_14_with_grace_period,True,True,True,False,False
4,1.0,2.0,39.0,0.0,0.0,5.0,2,1.0162329535242143,22.0,t,Entire home/apt,Real Bed,7,f,f,strict_14_with_grace_period,False,False,False,False,False
2,1.0,1.0,38.0,0.0,0.0,0.0,1,2.4949553728808214,46.04272377571082,t,Entire home/apt,Real Bed,5,t,f,moderate,True,False,False,True,False
